,review
19,시청역 고기집 중 최고 맘에 들었던 맛집월가갈비!기본 탕이 갈비탕인데 기본찬도 엄청 다양하고 하나같이 다 맛있어서 주변 직장인분들 꼭 고기아니어도 점심 식사하기도 좋을 것 같았어요!점심 특선은 딱 점심 식사로 알맞은 양의 고기와 식사냉면인데 가성비가 좋아서 남자친구 어머님이랑 식사했는데분위기도 고기 맛도 다 만족스러워서 월가갈비로 선택한 제가 뿌듯해지더라구요❤️벽돌갈비 도톰한 고기에 질이 너무 좋아서 사르르 녹아버리는 맛에 또 방문할 것 같아요!!
20,양 많고 푸짐합니다. 밑반찬도 좋아요~위치가 지하철이랑도 가까워서 찾기 쉬웠어요.직원분도 친절하시고매장도 넓고 쾌적해서 단체 모임하기도 좋을거 같아요.고급 고깃집인데 가격이 그리 비싼건 아니라분위기 내기 좋네요.무엇보다 음식 하나하나 맛나서 재방문 계획입니다~
21,"오,, 하이볼 웬만한 곳에선 술맛 안나고 에이드 같아서 싫어하는데 여기 하이볼 정말 맛있어요!다른고기는 모르겠고 저는 아묻따 생갈비 추천입니다👊🏻👊🏻점장님 넘 친절하시고 배려해주셔서 잘 먹다 갑니다!"
22,가족식사를 여기서 했는데정말 맛있게 먹고 왔어요👍🏻
23,예약없이 왔는데도 바로 입장가능했습니다!반찬도 너무 맛있고 특히 소고기무국 엄청 맛나요~직원분들도 다 친절하시고 안내도 잘 해주셔서 편히 식사하고 갑니다!
24,친구들과 서울 놀러와서 덕수궁 관람 하고 저녁 먹으러 들렸어요. 덕수궁에서 도보로 5분 거리에 있어서 방문하기 좋아요. 반찬도 다양하고 매장이 넓어서 편하게 식사 할 수 있어서 좋아요. 직접 구워줘서 편하게 먹을수 있어서 좋아요.
25,키워드 선택하는데 선택할 수 있는 게 5개 뿐이라 아쉬웠던 곳은 오랜만이에요 그 정도로 굉장히 장점이 많은 곳이에요 키워드로 선택 못 한 거 말씀드리자면 룸이 정말 잘 되어 있어서 단체 모임 하기에 좋은 곳이에요 기타 등등 장점 다수 보유💘이곳의 시그니처 메뉴인 벽돌갈비 시켜 먹었는데 비주얼부터 신기하게 찐으로 벽돌처럼 나오고🤣맛은 뭐 말해 뭐 해요 소갈비라 맛이 없을 수 없습니다 직원분이 맛깔나고 야무지게 잘 구워 주십니다💘창가석이 참 뷰가 좋더라고요! 강추!
26,6번째 방문했어요! 아이들이 잘 먹어서 고기먹으러가면 이사오고 나서 월가갈비 애용해요! 부드럽고 질기지않아요~ 그리고 반찬도 괜찮고 냉면이나 된장찌개도양 많아요! 고기와 함께 마무리하면 넘 좋아요~ 저번부터 처음 본 직원 한 분이 차분하게잘 구워주세요. 다른 테이블 신경쓰시면서도고기도 정갈하게 잘라주시고요. 아마 계속 애용할 것 같아요! 매번 맛있게 먹습니다!
27,벽돌갈비 진짜 살살 녹아요~!본부장님 모시고 갔는데 고기도 적당히 잘 구워줘서다들 맛있다고 예약잘했다고 칭찬받았네요! ㅎㅎ
28,메뉴들도 맛좋고 사이드. 기본 찬도 하나하나 맛있고고기먹고났는데도 옷에 냄새도 거의 안나서회식으로 좋겠더라구여 다음에 또 오려구요가성비 좋진않아도 조금 더쓴다 생각하고 편하게 먹긴 최고!
