,review
114,고기도 맛있고 직원들도 친철합니다처음 방문이었는데 재방문 의사 있음
115,"쾌적한 공간이고 고기가 신선합니다. 직접 구워주셔서 이야기 나누기 좋고, 하이볼도 기본부터 논알콜까지 다양해서 모두 즐겁게 먹을 수 있는 곳입니다."
116,
117,고기가 정말 너무 맛있어요. 소금없이 먼저 먹어보라셔서 먹었는데 고기본연의 맛 자체가 기가막히네요!친구들과 모임에 온 곳인데 모임하기에도 좋고 직원분들도 너무너무 친절하세요!!
118,생일겸 친구들이랑 갔는데월가갈비 진짜 맛있어요.고기가 어찌 부드러운지!3명이가 세트 하나 시키고 배불렀네요더 못먹은게 아쉬울 정도로 고기가 맛있어요!!밑반찬도 맛있고 친절하시고 분위기는 쾌적해요!만족했어요!!
119,저희 10분 넘게 검색하다가 여기로 찾아왔는데 진짜 친절하시고 일일히 설명해주시는게 감사했어요 ㅜㅠ 진상 손님도 있었어서 기분 안 좋으셨을텐데 친절하게 대해주시는거 보고 다음에 또 와야겠다 생각했습니다!! 대신에 예약 필수인 것 같아요..ㅎㅎ 사람이 넘쳐나더라구여!
120,반찬도 잘나오고 맛있고 고기도 맛있어요공간이 단체모임 하기 좋아보여요
121,소고기무국 맛있어요!
122,처음 방문한 곳인데 매장이 넓고 나중에 부모님이랑 같이 와도 좋을거 깉아요! 그리고 여기는 직원분이 고기가 다 익을때까지 구워주셔서 편하게 먹을 수 있어서 좋았어요❤️❤️다음에도 한번 더 방문해야겠어요😘😘
123,오랜만에 찐맛집 왔다갑니다~!
124,서울3대 갈비라고 해서 왔는데 진짜네요. 너무 맛있게 먹고 갑니다~
125,음식이 정갈하고 맛도 매우 좋습니다.외국인 비지니스 접대에도 훌륭한 식당이라 생각합니다.
126,시그니처 벽돌갈비 맛있어요🤤룸으로 예약했는데 조용하니 모임라기 좋구요 밑반찬도 맛있었습니다 :)
127,벽돌갈비가 진짜 맛있습니다. 직원분들도 너무 친절하고 고기도 구워주셔서 편하게 잘 먹었습니다.
128,고기도 너무 맛있고 메뉴가 다양해서 좋아용!!
129,반찬도 다양하게 나오고 고기도 너무 맛있어요~!!
130,"시청역에서 회식하거나 데이트할 고깃집 찾는다면 무조건 추천하는 곳! 여기 골랐더니 센스있다고 칭찬받았어요ㅋㅋ내부 분위기도 고급지고 이쁜데 좌석도 넓은 편이라 여러명이서 가기 좋아요 고기는 하나하나 다 구워주시고 직원분들도 친절하셔서 갈때마다 기분이 좋더라구요 점심에 육회비빔밥같은 메뉴도 있고 저녁에 가면 la갈비크림파스타, 깍두기볶음밥이 있는데 진챠 여기 사이드 존맛탱,, 전 데이트코스로 보통 고기집 추천 안하는데 여기는 분위기도 좋구 여자친구도 좋아할 특색있는 메뉴가 많아서 추천드립니다! "
131,또 가야겠다는 생각을 했네용2층에서 먹었는데 여자 사장님 매우 친절합니다고기도 맛있게 구워주셔서 최고정말 맛있게 먹었습니다
132,지원께서 매우 친절하십니다.
133,고기가 너무 부드럽고 맛있었어요^^ 남편도 너무 맛있다 극찬이네요ㅋㅋ재방문의사 200% 입니다
134,가족들이랑 tv방송보고 방문했어요.나중에 친구들과 좋은 일 기념하기 좋은 장소 같아요.
135,맛있고 넓습니다직원들도 친절하세요
136,진심 여기 제육 원탑임 정말 맛있음..
137,벽돌갈비가 입에서 살살녹습니다.무국이 진국입니다.아주대만족입니다.다시 올게요
138,4년만에. 만난 우리인연넘 좋은곳에서 맛난고기 먹으니 더좋네요고기를 잘 못굽는데구워주니 더좋공음식이 정갈하고 맛있어요
139,소고기랑 돼지고기 둘다 맛있어요!가족 외식으로 추천합니다 ^^
140,"지나가다 들렀는데 음식도 맛있고, 매장도 쾌적하고, 무엇보다 직원분들이 너무 친절하세요! 없는갈 요청드렸는데 가능하게 해주시는 센스 너무 감사했습니당! 기분좋게 식사했습니당"
141,사진에 나온 갈비만 먹을만 하고 나머지는 다 별로에요. 시그니처라는 벽돌갈비는 기름만 많고 돼지갈비는 달기만 달고 냉면도 면이 뚝뚝 끊겨요. 그리고 무엇보다 고기가 늦게나와서 음식흐름이 끊겨요. 알바를 더 쓰던지 해야지 처음에만 구워주더니 나중엔 저희가 알아서 구워먹었고요. 부모님께서 티비에서 보시고 가보고 싶어하셔서 일부러 먼곳에서 찾아갔는데 만족도 최하네요. 영수증 리뷰 이벤트에만 열을 올리는지 무슨 서비스도 된다했다 안된다했다하고 주차지원도 계산하는 직원은 모른다 하고... 암튼 50만원쓰고 이런 푸대접은 또 처음이네요!!!
142,고기가 야들야들해서 너무 맛있어요
143,고기도 맛있고 직원 분들도 암청 친절하시고 가족 모임이라 룸으로 미리 예약 하고 갔습니다 2년만에 한국 들어와서 가지는 가족 모임이었는데 다 만족 스러웠습니다 ~
144,고기와 곁들일수있는 구성도 많고 무엇보다 고기가 질이 좋습니다 재방문 의사 오백퍼
145,직원 분들이 너무너무 친절하세요! 고기도 너무너무 맛있구요.아이들 데리고 왔는데 너무너무 잘 먹고 갑니다.다음에 또 올게요♡♡
146,"인테리어가 한국적이고 예뻐요밑반찬이 깔끔하고 다양하게 나와서 좋고, 벽돌갈비 맛있고 친절한 직원분이 다 구워주셔서 편하고 맛있게 먹을수있었어요~ 크고 넓어서 모임이나 회식하기에도 좋을거같아요!"
147,월가 갈비점심 먹으러 왔어요 월가갈비 점심흑돼지 정식 +육회비빔밥 월가갈비는 고기가 맛있어서점심 메뉴도 맛있어요 반찬도 깔끔하고 좋아요 직원분들이 모두 친절하십니다
148,직원이 친절하고 고기도 맛있습니다~!!
149,너무 맛있게 먹었어요!! 직원분들 친절하고 좋아요~
150,손님 많아요꼭 예약하세요
151,아주 괜찮아요 가격도 적당합니다
152,기본 반찬도 알차게 나오고 고기도 신선해서 너무 맛있게 먹었어요 직원분들도 너무 친절하셔서 다음에 또 방문할게요!
153,맛있어요 고기 부들부들하고 양념이랑 반찬들도 맛있어요
154,이렇게 고기 구워주시는데 또 있나요.. 처음보는데. 고기질 너무 좋고 맛있어유! 다 구워주시고 불도 한쪽에 있어서 아주 편합니다. 모임하기 너무 좋은 것 같아요.
155,직원분들이 친절하시고 잘 구워주셔서 편하게 식사하고 갑니다 !
156,분위기도 좋고 고기도 정말 맛있었어요~^^소고기뭇국 나오는데 뜨겁게 먹을수있게 데워줘서 먹기좋았어요~ 지인 약속 있으면 담에 또 이용할거같습니다! 좋은 시간 보내고 감니다^^
157,고기 질 좋고 사장님 친절하세요!
158,"한국 전통적인 미가 느껴지는 인테리어에 격식있는 모임 장소로 참 제격이겠다 싶은 곳이에요. 고기 퀄리티, 음식 맛, 서비스, 분위기 뭐하나 빠질 것이 없구요! 특히 벽돌갈비 참 고소하고 육즙 터지는 부드러운 식감에 감탄했습니다. 함께 나오는 반찬도 정말 잘 어울리고 이색적이에요. 시금치 장아찌, 표고와사비, 올리브페스토 모두 참 맛있게 먹었어요!!!"
159,고기 야들야들하고 맛있어요~
160,고기가 정말 맛있었습니다!자리도 넓어서 단체 모임하기 좋네요!
161,고기가 질기지 않고 맛있네요!!! 가격에 비해 나오는 양도 많구요:) 뷰도 너무 좋아서 잘 먹고 갑니다!!!
162,음식이맛나고 청결하고 다좋았으나 서빙이 늦는다는 점이 흠 입니다
163,소불고기전골이랑 김치찌개전골 점심으로 시켰어요~~맛있고 양도 푸짐해용!!
164,고기 맛있고 직원분들 친절하셔요^^
165,친구들이랑 오랜만에 모임하는데 갈비 너무 맛있게 먹었어요 매장도 넓고 깔끔하고 직접 구워주셔서 친구들이랑 편하게 모임했습니다!!👏🏻👏🏻👏🏻
166,분위기좋고 직접 구워줘서 좋음단 보통의 일반식당도 컵은 가져다주는데 여긴 밑에 있는 컵 접시 다꺼내야하고 물은 4명인데 500미리 물 미리 꺼내져있고 밑빈찬이 미리 식탁에 올려져있어서 다시 갈지는 미지수. 
167,딸아이와 호캉스 왔다가 들린  곳인데 너무 맛있어서 두번째 방문 입니다~ 역시 최고 입니다
168,고기가 야들야들하고 너무 맛있어요!!친절하게 잘 구워주셔서 모임으로 오기 좋아요 :)
169,고기가 너무 맛있고.  친절하고 잘 구워주셔서 편히 먹을수 있었어요^^
170,고기랑 냉면세트가 있어서 좋아요!
171,예약하고 방문했어요!직원분들도 친절하시고 다 구워주셔서 데이트 하기에 너무 좋았습니다!고기도 아주 맛있고 부드러워요!!!! 강츄합니다♥️
172,두번째 방문 오늘도 회식으로 방문했는데 역시 고기 맛있고 친절하고 너무 좋아요
173,진짜 자리도 너무 좋았고 예약해서 가서 웨이팅없이 바로 들갔어요 ㅎㅎ 같이 간 분들 모두 너므 만족하시고 행복하게 먹고왔습니다!
174,맛있어요 친절해요 또 올게요~~
175,넓구 친절해서 고기도 다 구워주셔서 시청역에서 회식하기 좋아요!ㅎㅎㅎ맛있게 잘 먹었습니다!
176,서울시청 근처 맛집을 찾다가 방문했는데 만족스럽게 먹고 왔어요. 벽돌갈비는 처음이였는데 고기도 두툼하고 맛있었어요. 양념갈비도 야들야들하니 맛있더라고요. 밑반찬들도 고기랑 잘 어울리고 특이한 반찬들이 많아서 좋았어요. 특히 표고와사비와 고기랑 잘 어울리더라고요. 분위기도 좋고 매장도 커서 단체로오기에도 괜찮은곳같아요!
177,괜찮았어요
178,벽돌갈비 양념갈비 물냉면 다 맛있어요!!벽돌갈비는 양이 좀 적긴한데 반찬도 잘나오고 특히 찍어먹는 소스도 맛있어요ㅎㅎ 양념갈비는 돼지인데도 엄청 부드러웟어요구워주시는 직원분도 친절햇습니당ㅎㅎ 담에 또 방문할게요!
179,ㅎ히식 하러ㅠ왔는데 매장부터 놀라도 인태리어에 놀라고 맛에 놀라고갑니다 맛도 맛이고 이렇게 맛있는 은식점 처음입니다 다음 재방문 100%
180,진짜 개 맛잇습니다!! 강추 강추~ 가게 일하는 직원들과 식사했는데 너무 맛잇네요~ 가격도 고기질과 분위기등 전부 만족스럽습니다 오랜만에 맛있는 한끼 했네용~
181,가족모임 맛있게 먹고 즐거운시간보냈어요 벽돌갈비 추천!!
182,고기가 신선하고 아주 맛있아요! 고기 굽기도 너무 적당하고 입에 들어가자마자 사르르 녹아요…분명히 있었는데 없어졋…고기만 먹으면 질릴수도 있는데 주변 사이드 메뉴도 엄청 다양하고 찍어먹는 소스?도 6종류나 나와서 끝까지 질리지 않게 먹었어요! 매장도 엄청 넓고 깨끗해서 가족모임이나 친구들 단체모임 하기도 좋을거같구 고기도 초반에 구워주셔서 편하게 먹을 수 있을거 같아요 ❤️ 직원분들도 다 너무 친절하셔서 완벽했던 식사였어요 :)
183,너무맛있어서 급하게 먹으라 ;;사진을못찍었네요~~갈비가 정말맛있어요~
184,직원분들이 친절하시고 고기가 좋아요 
185,가게를 들어가자마자 깔끔하고 넓어서 놀랐고 반찬이 너무많아서 반찬으로 배채울정도에요 고기도 씹자마자 녹고 직원분들 다이쁘고 잘생기고 착해용 다음에 또오고싶네용❤️❤️❤️
186,벽돌갈비가 유명하고 맛있다고 하여방문했는데 정말 너무 맛있고 직접 구워주셔서너무 맛있게 먹고 가요!!!밑반찬들고 너무 맛있네요!강추합니다~또 시청에 오면 다시 방문하려구요!
187,고기구워 주셔서 편해요. 깔끔
188,친구등과 방문했어요 맛있어요
189,정말 첫맛을 잊지못할정도로 맛있어요~!!다음에또 오고싶습니다!!♡♡:)
190,"서울여행으로 첫 방문!친절하시고, 무엇보다 고기를 구워주셔서 좋네용😍"
191,고기 맛있게 잘 먹었습니다
192,고기가 살살 녹네요. .또 올거예요!!!!물냉 된장찌개도 진짜 너무 맛있어요. 고기 살살 녹구여!!! 부모님도 좋아하세요. 행복 그 자체. 엄마가 행복하시대요
193,아이들과함께 너무 맛있게 잘먹었습니다
194,고기 정말 부드럽고 잘 구워주셔서 맛있게 먹었습니다!!! 자주 올 것 같아요!
195,소갈비도 퀄리티에 대비 가격도 좋고 직원분들도 너무 친절하십니다. 고기도 직접구워주시고 사이드로 나오는 것들도 삼삼하니 맛있고 좋아요!다시 또 좋은날에 방문하고싶습니다~
196,기본 찬과 고기 질이 미쳣슴니다 서비스 숙주도 너무 맛있어요!
197,"부모님와 함께 방문했습니다.가게는 크고 넓고 깨끗했습니다.반찬셋팅도 좋았고 다양한 소스와 자리에서 바로 주문가능한것도 굿! 돼지갈비를 먹었는데, 많이 달지않고 양념이 맛있더라구요~ 고기도 친절하게 다 구워주셔서 편히 먹었습니다. 그리고 육회도 신선하고 맛있더라구요. 된장찌개도 큰 뚝배기에 나와서 좋앆습니다. 재방문의사 100프로 입니다."
198,고기도 맛있고 반찬 하나하나 다 정말 맛있네요.가게도 깔끔해서 손님 모시고오기 좋을거같아요.
199,이거 뭐 네이버 리뷰는 이벤트.먹기 위한 꼼수라고 보시면 됩니다.음식 먹기 점에 가짜 영수증 갔다주며 리뷰 작성해달라네요아니 먹어봐야 맛을 알지.ㅜㅜ실제 리뷰1.  분위기가 엄청 어수선하다2. 일하는 직원 분들의 숙련도가 너무 낮다3. 음식 서빙 속도가 느림. 고기를 시켜도 기본 10분 이상. 먹다가 음식 끊겨서 기분 상함4. 고기의 퀄리티는 중하 수준5. 냉면은 그냥 안 시키는걸로. CJ냉면이 훨씬 맛있음부모님 모시고 간건데 먹고 나오는데 민망함 ㅜㅜ두번 다시는 안 갈 가게임
200,늘 친절한 점장님 직원들 고맙습니다
201,고기를 다 구워주시니까 너무 편하고 제일비싼걸로 먹었는데 역시 육즙이 짱이었습니다 소고기최고 월가갈비최고에용
202,자리도 넓고 곁들여 먹을 반찬들도 많아서 너무 좋아요직원분들도 너무 친절하고 고기도 너무 맛있었어요~~
203,"매장이 깔끔하고 고급져용 안먹어도 벌써 맛있어보이고고기질도 좋고 맛좋아요!! 데이트장소로 굳,,, 담에도 또 올게용"
204,홍벽갈비인가 큰 갈비 시켰어요. 부드럽고 맛있게 먹었습니다. 반찬으로 나오는 뭇국이 맛있어요.
205,"생일기념 으로 왔어요서비스도 좋고 네이버예약으로 왔는데 콜키지쿠폰받아서 넘 좋네요! 고기 맛나고 직원분의 센스,친절도가 정말 좋았습니다. 재방문 하고 싶어요. 😀"
206,식사먹으러왔는데 깔끔하고 좋아요~
207,친절하고 맛있어서 좋았어요 ㅎ서울 여행 또 오면 올게요!
208,리뷰만 보면서 언젠가 먹으러가야지 생각만하다 결국 오늘 방문하게되었네요 물론 제가 결제하지않아서 더 맛있었던거 같아요 직원분들도 친절하시고 벽돌갈비 굉장히 맛있어요~
209,맛있습니다 고기가  최고예요
210,고기 질이 너무 좋고 맛있어요 직원 븐들도 너무 친절하셔서 가족들과 함께 맛있게 식사하고 왔어요 다음에 또 찾아올 예정입니다>< 번창하세요
211,고기도 구워주시고 너무 친절하시고 맛있었습니다~
212,월가 갈비...시청 호텔프라자 뒤편에 맛집이 있을줄이야!서울은 가끔 오지만 다시가고픈 맛집 찾기란 쉽지 않은데오늘은 대성공 시간이 없어 일찍 가지만 다음엔 날 잡아서다시 방문 해야겠네요...고기맛 좋고 직원분들 넘친절 합니다 
213,"이게 소고기구나…라는 말이 절로 나옵니다.. 너무 맛있어요 처음 와봤는데 앞으로 단골 될 것 같습니다. 직원분이 고기 다 구워주셔서 먹기도 너무 편해용..ʚ♥ɞ 사이드도 육회 냉면 파스타 다양하게 먹어봤는데 하나도 빠짐 없이 다 너무 맛있어요… 백종원이 와도 극찬하고 갈 집!! ㅋㅋㅋ 둘이 먹다 하나 죽어도 모를것 같아요 서비스도, 맛도, 양도, 질도 다 베스트입니댜앙 담에 또 오겟습니다 잘먹엇어용!!! 🫶🏻"
214,It is great place to eat 갈비 near by cityhall areaI enjoyed it 
215,여자친구랑 고기 먹으러왔는데 고기가 굉장히 부드럽고 맛있네요. 친절하시고 고기고 직접 구워주셔서 감사했습니다~ 잘먹었습니다~
216,소문듣고 왔는데 맛있게 잘 먹었습니다. 고기도 맛있고 양도 많고 깔끔하고 즐겁고 만족 스러워요! 또 먹으러 올게요!!
217,친구들과 함께한 저녁식사!분위기도 고전적이고 한옥에서 식사하는 느낌에 너무 좋았어요!!고기도 입에 넣는 순간 부드럽게 녹아내려요!!저기 사진에 보이는 유자 연근? 진짜 맛있어요!!대박나세요 사장님🫶
218,분위기도 좋고 너무너무 맛있습니다:)다음에 가족 모임하면 또 올 거 같아요잘먹었늡니다:)
219,직원분들도 친절 하시고 가게 분위기랑 고기 맛도 좋았습니다 ㅎㅎ 
220,맛있어요 깔끔하고 직접 구워주셔서 편하게 먹었어요
221,고급스럽고 맛있어요ㅠㅠ 직접 구워주셔서 너무 편하고 타지않게 먹을수있습니다김치찌개 추가했는데 깊은맛이라 더욱 맛있게느껴지네요☺️ 추천합니다
222,인천에서 왔는데 고기가 너무 맛있어요고기도 다 구워주시고 좋은 추억 만들고 갑니다!!!
223,고기가 맛있어요함께 먹는 바질페스토와 소고기무국도 맛있습니다
224,인테리어도 좋고 좋은 날 좋은 식사하러 오기 너무 좋아요! 고기도 굿
225,직원분들 친절해서 좋아요 그리고 구워주시니 더 맛있는 거 같아요! 반찬 다 두루두루 맛있고 고기에 찍어먹는 소스도 맛있어요묵은지 크흐 👍
226,첫방문 맛있어요
227,부모님이랑 왔는데 친절하게 잘 구워주시고 너무 맛있어요!!🤎
228,고기의 질도 너무 좋고 맛있었어요 양도 많아서 배부르게 먹다가 갑니다~~! 다음에 시청 쪽 올 일 생기면 또 방문할 것 같아요
229,분위기도 좋고 너무 맛있어요🤭🤭🤭🤭
230,
231,매번 맛있게 찾아먹고 있는 곳 ♥︎
232,고기맛이 끝내줘요.부드럽고 살살녹아요.친절하고 쾌적해서 넘조아요가족모임  원픽이에요
233,시청역에서 귀한 분과 함께 찾은 고기맛집.귀한 분과 함께 하기에 더할 나위 없이 멋진 곳!맛도 멋도 분위기도. 그리고 진짜 서비스를 경험할 수 있는 곳. 바로 월가갈비입니다~!
234,인스타에서 보고 방문하게 되었는데 보이는 만큼 진짜 맛있었어요! 벽돌갈비는 무조건 사키시고 뼈고기와 비빔냉면 된찌 꼭 시키세용 재방문 의사 있습니다! 황제갈비도 단품으로 먹었눈데 비냉이랑 조합너무 좋았어요!!맛있게 먹었습니다!!
235,친절하시고 매장도 깨끗하고 고기 맛있습니다~~~
236,월가갈비 매장의 메인 고기인 벽돌갈비를 먹었습니다.함께 간 지인들도 좋아했구요. 추천받아서 다녀왔는데돈 아깝지 않아요. 너무 맛있고 훌륭해요.  서비스도 좋아구요. 고마워요. 다음에 또 갈게요.
237,"사진은 없는데 친절하시고 고기도 구워주시고 외국인 손님들이 많아 아이도 좋아하고 여러모로 참 좋았어요 예약하고 쿠폰쓰면 하이볼도 주시는데 정말 맛있었어요! 주차는 안되나, 건너편 한화 빌딩에 주차하면 어느정도 지원됩니다 ! 맛있어요 리뷰 잘 안남기는데 아이랑 가신다고하면 소고기뭇국에 밥 말아주니 좋아하더라구요 (20개월 입니다!청양고추가 들어가 있긴한데 맵지않아요. 그래도 걱정되시면 주문 전 미리 빼달라고 하시면 더욱 좋을 것 같아요) 아기의자도 있어요^^"
238,점심먹으러 왔는데 인테리어도 멋있고 맛도 좋아용!!추천합니다
239,고기 질이 좋고 맛있어요~!!!!!!
240,부모님 모시고 먹기 진짜 좋았어요 공간도 쾌적하고 맛있어요
241,고기 질이 눈으로 봐도 너무 좋은데 직접 구워주시기까지 해주셔서 맛있게 먹었습니다 !! 가족모임하기 정말 좋은 장소 같아요. 서비스가 좋아서 분위기 좋게 편하게 식사하고 나올 수 있었습니다 ! 편안한 가족모임 장소로 추천!!!
242,맛있게 잘 먹었습니다~!특히 냉면 맛집!!
243,직접잘구워즈시고 친절 하세요!
244,고기 질이 왕좋아용잡내안나서 좋고 매장이 쾌적해서 좋아욥 잘 묵다 갑니다 ~_~
245,맛있어요.가족 모임 좋네요.
246,고기가 너무 너무 맛있었고 직원분들이 친절하셨습니다.
247,"친구들과 급 벙개로 들어왔는데 문옆이긴 했지만 마지막 하나 남은 자리에 운좋게 앉았어요~ 고급스런 맛이였고, 굉장히 친절하셨어요!"
248,"네이버 예약으로는 3번째이고 그동안 총 방문은 4번째에요. 그동안 갔던 날 중에 음악소리가 제일 컸던 것 같아요. 맞은편 앉은 남편 목소리가 안 들릴 정도였거든요. 옆테이블도 술먹어서 목소리크지, 음악소리크지 좀 아쉬웠습니다. 늘 음식은 만족하고 잘 구워주셔서 편안하게 잘먹고옵니다! 그리고 리뉴얼된 반찬과 국이 너무 마음에 들었어요~ 숙주볶음 맛있고, 소고기뭇국도 따뜻하니 좋더라구요. 아이들있으니 후추 빼드리냐고 물어봐주셔서 감사했어요! "
249,"벽돌갈비, 홍벽갈비, 육회 다 맛있었어용"
250,
251,벽돌갈비 정말 제대로 취향저격이었습니다. 감칠맛이 엄청났어요. 숯불에 잘 구워주셔서 회식이나 모임장소로 방문하기 정말 좋겠더라고요. 상차림도 푸짐해서 만족도가 정말 높았던 곳이었습니다.
252,예약 후 방문했고 친구들과 맛있는 저녁 먹었습니다. 금요일 저녁엔 사람이 많아서 조금 시끌벅적 하긴 하지만 고기는 맛은 끝내줘요! 
253,너무 손님이 많아 정신없는 분위기지만 고기는 좋았어요
254,룸이 있는 고깃집. 외빈 모시기 좋아요.
255,인테리어는 멋져요.서비스 좋아요. 숙주볶음 맛있구요 근데  중요한 고기가  맛이 별로입니다. 양념갈비먹었는데 정말 별루이고 너무 두꺼워서 그런지 부드럽지않고 진짜 속상했습니다. 그리고 소고기를 넘 오래구워주시던데 그건 정말 아니라고 생각합니다. 
256,너무 맛있습니다~~~~.
257,시청에서 매번 롯데백화점가서 먹었는데 이제는 여기로 와야겟어요 재방문의사있습니다!
258,벽돌갈비부터 소양념갈비 존맛이에여!!! 
259,재방문했어요! 벽돌갈비 물냉 된찌 진짜 맛있어요👍🏻고기질 최고입니다. 강추
260,"고기도 직접 구워주시고, 고기도 너무너무 부드럽고 맛있어요!!! 부모님도 너무 좋아하시네요 ㅎㅎ"
261,회식으로 자주 오는데 점심 저녁 아주 좋습니다~ 점심은 직접 구워먹고 저녁은 구워주세요! 하이볼도 다양하고 넘넘 맛있습니다 ㅎㅎ
262,덥고 꿉꿉한 날씨에 딱이네요!!회사동료들과 가서 맛있게 먹었어요!공간도 넓고 청결해서 담에 친구들과 고기먹으러 가야겠어요!
263,월가갈비 양도 많고 벌써 3번째 방문입니다!!돼지갈비 먹었는데 돼지갈비도 부드럽고 양 많습니다! 정갈하니 깔끔 반찬에 분위기 큰 매장까지 대접하기 좋은 곳입니다!! 개인적으로는 근데 벽돌갈비가 👍👍👍 더 맛있어요 !!!  다음엔 벽돌갈비 먹을게요😊
264,홍벽갈비 너무 맛있어요 정말 잘먹었습니다
265,룸 예약했으나 룸이 없어 홀 예약으로 변경 제일 조용한 자리 주신다더니 중간에 덩그러니. 그럴 거면 유선상으로 약속을 하지 말던가. 그냥 예약 거절하기 싫어서 우선 말만 그렇게 한듯
266,매장이 깨끗하고 멋집니다. 고기도 맛있고 직윈분들이 친절합니다 ㅎ 또 오겠습니다
267,일부러  찾게되는곳  저번보다 고기가 살짝 질겻지만갠춘
268,맛좋고 친절 굿
269,직원들이 너무 친절하고 고기를 잘 구워주세요!!
270,고기가 연하고 정말 맛있네요~
271,"깨끗하고 고기 마은 좋네요. 다만 모든고기를 구워주는게 아니고, 메뉴에 따라 구워주기도 아니기도 해서 좀 불편하네요."
272,"네이버 예약시 오미자하이볼을 주셔서 고기와 함께 먹었는데 레몬도 넣어주셨고 분위기&맛 너무 좋았어요~ 명이나물, 신김치, 백김치, 연근, 단호박감자샐러드, 잡채, 소고기무국, 파무침이 기본 세팅되고 처음 주문한 고기는 구워주십니다. 된짱찌개 추가주문했는데 정말 정말 맛있어요. 돼지갈비 3인분 먹고 추가로 제주돼지 목살 1인분 주문했고요 주말 공휴일엔 3인분 주문시 1인분이 추가로 제공되서 돼지갈비는 4인분 먹었어요. 2명 가려다 4명이 식사했는데 고기구워주신 예쁜 이모님께도 감사드려요. 아이 입맛이 까다로운데 친절하게 응대해주셔서 정말 감사드립니다. 이미 식사중에 사진을 부랴부랴 찍어서 다 담을 순 없었지만, 연중무휴고 가까운 호텔에 숙박했고 도보 5분거리였고 역에서도 접근성이 좋아요."
273,고기 진짜 맛있어요. 알바분들도 친절합니다!
274,고기도 직접 구워주시고 음식 맛도 너무 좋고 친절하셔서 다음에 꼭 또 올 거 같아요!
275,같은 고기라도 왕커서 왕맛있어요!
276,고기 진짜 부드럽고 맛있습니다!
277,고기 진짜 부드러워요 너무 맛있습니다제발 와서 드셔주세요🤟
278,근처 호텔 호캉스 하면서저녁식사 장소로 우연히 왔는데갈비 완전 맛있고 직원분이 다 구워주셔서 좋았어요.
279,맛은 괜찮은데 고기 양이 생각보다 적더라고요
280,아이들과 왔는데 맛있네요.
281,고기가 사르르 녹아요 ㅠㅠ 넘 맛있어요 주말에 3+1 행사해서 덜 부담스럽고 좋았어요 다들 친절하시구 세번째 방문이지만 다음에도 또 올게요🙂
282,친절하고 음식도 맛있어요!!
283,너무 좋아요 추천합니당 최고에요!!
284,반찬부터 고기까지 맛있네요~ 가까우면 좋았겠네요 ㅎㅎ친구와함께 추천이요
285,오랜만에 가족모임 좋은 식사 했습니다. 반찬 구성도 푸짐하고 반찬 하나 하나 다 맛있습니다. 간만에 좋은 식당 발견 했네요. 진짜 맛있습니다. 재방문 의사 있습니다
286,고기 퀄리티가 너무 좋네요
287,너무 맛있어요
288,"오늘 가족여행으로 서울 나들이 왔는데, 맛집을 알아서 너무 기분이 좋네요👍👍직원분들 진짜 친절하고 고기 맛도 진짜 맛있습니다!!!너무 맛있게 잘 먹었습니다!!!또 오고싶네요!!👍👍👍"
289,편하게 구워주셔서 좋았고 고기고 질 좋고 맛있어요 사이드 된찌도 존맛탱 앞으로 자주 올듯!!
290,월가갈비 시청점 덕분에 연말 송년회 풍성하고 기름지게 하고왔어요. 갈비는 먹자마자 사르르 녹는듯한 육즙이 정말 대박이고요 못참고 양념갈비에 돼지고기 모둠까지 먹어버렸네요 고기도 직접 구워주셔서 최상의 컨디션으로 드실수 있고요 또 볶음밥까지 드셔주시는건 필수에요!!
291,음식이 정갈해서 좋아요~
292,잘먹고갑니다. 회식.모임에 좋음.
293,굿귯 아주 마싯어뇨 ! 예약없이도 바로 입장 했어요 ~
294,직접 고기를 구워주는것은 좋아요.분위기 별로고반찬도 별로고다 광고발이었어요.
295,직원분이 친절하고 고기가 맛있어요!!
296,
297,이번달에도 방문 완료! 제 최애 고깃집!! 각종 이벤트참여 많이해서 서비스 왕창 받았어요ㅎㅎ 다음달에도 방문 예정입니다!
298,"룸도 잘 되어있고 고기도 맛있어요, 그런데 직원들 응대는 조금 미흡한 느낌이에요."
299,날씨 좋아 나들이  나왔다가   맛집검색해서 왔어요.   행사도 해서 3 +1로 양념갈비  맛있게 먹고있어요 . 
