일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
20240612,75400,200,0.27,75300,76100,75200,9363361,7.07287E+11,4.50122E+14,5969782550
20240611,75200,-500,-0.66,75900,76000,75100,16971175,1.28083E+12,4.48928E+14,5969782550
20240610,75700,-1600,-2.07,76100,76600,75600,14598755,1.10935E+12,4.51913E+14,5969782550
20240607,77300,-100,-0.13,78400,78600,77100,21189349,1.6453E+12,4.61464E+14,5969782550
20240605,77400,2100,2.79,78000,78000,76800,23177968,1.79424E+12,4.62061E+14,5969782550
20240604,75300,-400,-0.53,74900,76100,74900,14098053,1.06575E+12,4.49525E+14,5969782550
20240603,75700,2200,2.99,74400,76400,74200,15706268,1.18666E+12,4.51913E+14,5969782550
20240531,73500,0,0,74500,74700,73500,26198776,1.93596E+12,4.38779E+14,5969782550
20240530,73500,-1700,-2.26,74800,75200,73500,28551273,2.11778E+12,4.38779E+14,5969782550
20240529,75200,-2400,-3.09,77700,78200,75200,30244875,2.31201E+12,4.48928E+14,5969782550
20240528,77600,400,0.52,76500,78000,76200,18539072,1.43671E+12,4.63255E+14,5969782550
20240527,77200,1300,1.71,75300,78200,74000,43825202,3.30663E+12,4.60867E+14,5969782550
20240524,75900,-2400,-3.07,76800,77000,75700,27891278,2.12729E+12,4.53106E+14,5969782550
20240523,78300,600,0.77,77700,79100,77100,18728087,1.46238E+12,4.67434E+14,5969782550
20240522,77700,-700,-0.89,78100,78700,77300,19521506,1.52259E+12,4.63852E+14,5969782550
20240521,78400,-500,-0.63,78500,79000,78200,13690583,1.07483E+12,4.68031E+14,5969782550
20240520,78900,1500,1.94,78100,79100,77900,19456783,1.52802E+12,4.71016E+14,5969782550
20240517,77400,-800,-1.02,78600,78800,77200,15918201,1.23764E+12,4.62061E+14,5969782550
20240516,78200,-100,-0.13,80200,80300,78100,20989778,1.65638E+12,4.66837E+14,5969782550
20240514,78300,-100,-0.13,78600,78800,77900,11763992,9.20738E+11,4.67434E+14,5969782550
20240513,78400,-800,-1.01,79400,79900,77600,18652344,1.46096E+12,4.68031E+14,5969782550
20240510,79200,-500,-0.63,80400,81100,78900,16976124,1.35124E+12,4.72807E+14,5969782550
20240509,79700,-1600,-1.97,81100,81500,79700,18759935,1.50912E+12,4.75792E+14,5969782550
20240508,81300,0,0,80800,81400,80500,13089576,1.06057E+12,4.85343E+14,5969782550
20240507,81300,3700,4.77,79600,81300,79400,26238868,2.11262E+12,4.85343E+14,5969782550
20240503,77600,-400,-0.51,79000,79000,77500,13151889,1.02855E+12,4.63255E+14,5969782550
20240502,78000,500,0.65,77600,78600,77300,18900640,1.47515E+12,4.65643E+14,5969782550
20240430,77500,800,1.04,77000,78500,76600,19007007,1.47753E+12,4.62658E+14,5969782550
20240429,76700,0,0,77400,77600,76200,14664474,1.12437E+12,4.57882E+14,5969782550
20240426,76700,400,0.52,77800,77900,76500,12755629,9.82997E+11,4.57882E+14,5969782550
20240425,76300,-2300,-2.93,77300,77500,76300,15549134,1.19506E+12,4.55494E+14,5969782550
20240424,78600,3100,4.11,77500,78800,77200,22166150,1.73248E+12,4.69225E+14,5969782550
20240423,75500,-600,-0.79,76400,76800,75500,18717699,1.42415E+12,4.50719E+14,5969782550
20240422,76100,-1500,-1.93,77400,77500,75100,30469477,2.32045E+12,4.543E+14,5969782550
20240419,77600,-2000,-2.51,78300,78700,76300,31317563,2.42365E+12,4.63255E+14,5969782550
20240418,79600,700,0.89,78800,80100,78300,21370190,1.6942E+12,4.75195E+14,5969782550
20240417,78900,-1100,-1.38,80700,80800,78900,22611631,1.80099E+12,4.71016E+14,5969782550
20240416,80000,-2200,-2.68,81200,81300,79400,31949845,2.56408E+12,4.77583E+14,5969782550
20240415,82200,-1500,-1.79,82900,83200,81200,26663772,2.18777E+12,4.90716E+14,5969782550
20240412,83700,-400,-0.48,84700,84900,83200,17061770,1.42969E+12,4.99671E+14,5969782550
20240411,84100,500,0.6,83200,84700,82500,25538009,2.13895E+12,5.02059E+14,5969782550
20240409,83600,-900,-1.07,84500,84900,83100,23725956,1.99149E+12,4.99074E+14,5969782550
20240408,84500,0,0,85200,86000,84500,18953232,1.61457E+12,5.04447E+14,5969782550
20240405,84500,-800,-0.94,84500,85000,83800,18883752,1.59363E+12,5.04447E+14,5969782550
20240404,85300,1200,1.43,85200,85500,84300,25248934,2.14731E+12,5.09222E+14,5969782550
20240403,84100,-900,-1.06,84300,85000,83500,30493347,2.57059E+12,5.02059E+14,5969782550
20240402,85000,3000,3.66,82900,85000,82900,37077944,3.12594E+12,5.07432E+14,5969782550
20240401,82000,-400,-0.49,83200,83300,82000,20116513,1.66128E+12,4.89522E+14,5969782550
20240329,82400,1600,1.98,81200,82500,80900,27126366,2.2249E+12,4.9191E+14,5969782550
20240328,80800,1000,1.25,79400,81000,79200,25084812,2.01495E+12,4.82358E+14,5969782550
20240327,79800,-100,-0.13,79200,80000,79200,17424595,1.38727E+12,4.76389E+14,5969782550
20240326,79900,1700,2.17,79700,80100,79200,30551494,2.43579E+12,4.76986E+14,5969782550
20240325,78200,-700,-0.89,79600,79800,77800,18703996,1.47221E+12,4.66837E+14,5969782550
20240322,78900,-400,-0.5,79600,79900,77800,26724761,2.10454E+12,4.71016E+14,5969782550
20240321,79300,2400,3.12,79200,79300,77700,44569799,3.50999E+12,4.73404E+14,5969782550
20240320,76900,4100,5.63,73700,77200,73400,50106297,3.79922E+12,4.59076E+14,5969782550
20240319,72800,0,0,72300,73000,71700,15376066,1.10907E+12,4.346E+14,5969782550
20240318,72800,500,0.69,72600,73000,72500,11520348,8.37896E+11,4.346E+14,5969782550
